dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
freesolv,random,node_gnn,"(0.6,0.8]",120,0.6700987885811399,0.7010828746379475,0.9298329953780843,0.9666666666666667
freesolv,random,node_gnn,"(0.8,1.0]",70,0.9419242277330513,0.4023683328988973,0.5116537745716144,1.0
freesolv,random,rf_rdkit,"(0.0,0.2]",14,0.11715379665954632,1.5595202285221095,2.0009747729730734,0.8571428571428571
freesolv,random,rf_rdkit,"(0.2,0.4]",127,0.32906431240352735,1.1530566178661688,1.7462170613608228,0.8740157480314961
freesolv,random,rf_rdkit,"(0.4,0.6]",309,0.5052154690353111,0.829616311745311,1.4622552900021901,0.9029126213592233
freesolv,random,rf_rdkit,"(0.6,0.8]",120,0.6700987885811399,0.5165581463569401,0.7514521128099697,0.9833333333333333
freesolv,random,rf_rdkit,"(0.8,1.0]",70,0.9419242277330513,0.25321165983834415,0.3834376058299351,1.0
freesolv,random,rf_rdkit_morgan,"(0.0,0.2]",14,0.11715379665954632,2.1066236468810566,2.8191168634745547,0.5714285714285714
freesolv,random,rf_rdkit_morgan,"(0.2,0.4]",127,0.32906431240352735,1.3544173457599356,2.1016627015542606,0.8503937007874016
freesolv,random,rf_rdkit_morgan,"(0.4,0.6]",309,0.5052154690353111,0.9807801789984915,1.6349905038354666,0.9029126213592233
freesolv,random,rf_rdkit_morgan,"(0.6,0.8]",120,0.6700987885811399,0.6206772474514534,0.8140056936804599,1.0
freesolv,random,rf_rdkit_morgan,"(0.8,1.0]",70,0.9419242277330513,0.2763287639304987,0.41340109553559484,1.0
freesolv,random,xgb_rdkit_morgan,"(0.0,0.2]",14,0.11715379665954632,1.3557396134104671,1.8537873660389579,0.6428571428571429
freesolv,random,xgb_rdkit_morgan,"(0.2,0.4]",127,0.32906431240352735,1.0003190953785583,1.5128302655149042,0.8582677165354331
freesolv,random,xgb_rdkit_morgan,"(0.4,0.6]",309,0.5052154690353111,0.6693321334352605,1.2764753105828475,0.9093851132686084
freesolv,random,xgb_rdkit_morgan,"(0.6,0.8]",120,0.6700987885811399,0.47569142484771176,0.7873247867831956,0.9333333333333333
freesolv,random,xgb_rdkit_morgan,"(0.8,1.0]",70,0.9419242277330513,0.14731058552761342,0.21392372763321038,1.0
freesolv,scaffold,edge_gnn,"(0.0,0.2]",163,0.12185836705272621,2.20269315073561,2.9595455989699904,0.852760736196319
freesolv,scaffold,edge_gnn,"(0.2,0.4]",283,0.3312671021836516,1.5501721615369368,2.0130788048278934,0.9611307420494699
freesolv,scaffold,edge_gnn,"(0.4,0.6]",112,0.47360823804856045,1.2855645984001065,1.6114571072958572,1.0
freesolv,scaffold,edge_gnn,"(0.6,0.8]",2,0.7560975609756098,3.005534460008211,3.007271778547168,1.0
freesolv,scaffold,hybrid_concat,"(0.0,0.2]",163,0.12185836705272621,1.3188422310902264,1.9049241843742626,0.9079754601226994
freesolv,scaffold,hybrid_concat,"(0.2,0.4]",283,0.3312671021836516,1.230079544277315,1.597281222859622,0.950530035335689
freesolv,scaffold,hybrid_concat,"(0.4,0.6]",112,0.47360823804856045,0.9633647554669456,1.0927510354405516,0.9910714285714286
freesolv,scaffold,hybrid_concat,"(0.6,0.8]",2,0.7560975609756098,1.177895311958068,1.1904605508371728,1.0
freesolv,scaffold,hybrid_gated,"(0.0,0.2]",163,0.12185836705272621,1.3210751873998066,1.892185075421069,0.9079754601226994
